index	sim_time	step_time	success	C01	C12	D01	D12	H01	H12	state_r0	state_r1	state_r2	speed_r0	speed_r1	speed_r2	actuation_r0	actuation_r1	actuation_r2	
0	0.475629	0.343342	True	15.310498714419726	15.310499025554611	0.25000000340600054	0.25000000000009864	1.4361066613316864	1.4361066706040995	[1.9999999924912593, -6.92518275539762e-16, -3.1270081214260994e-05, -6.633553372790665e-11, 2.4231247823525784e-07, -6.674197694334251e-11]	[2.500000000000001, -6.933000188000069e-16, -3.1286086915806514e-05, -6.633552563546418e-11, -6.633552563989376e-11, -6.674196890129177e-11]	[3.000000000000001, -6.933000188000069e-16, -3.1286086915806514e-05, -6.633552563546418e-11, -6.633552563989376e-11, -6.674196890129177e-11]	[-1.501614414234817e-06, 1.3830422653812972e-13, -0.006258714883572317, -1.3275124047998635e-08, 4.849178741064318e-05, -1.3358134232921755e-08]	[-1.3823853470596528e-13, 1.383042188779761e-13, -0.006261918428715111, -1.3275124048182544e-08, -1.3275124048182443e-08, -1.3358134232921755e-08]	[-1.3823853470596528e-13, 1.383042188779761e-13, -0.006261918428715111, -1.3275124048182544e-08, -1.3275124048182443e-08, -1.3358134232921755e-08]	[-0.0017244122800064343, 0.0, 0.0036757859612361566, -2.1199069172849865e-07, 0.0007743662145093827, -2.1326295394442361e-07]	[0.0, 0.0, 0.0, -2.1199069172849865e-07, -2.1199069172849865e-07, -2.1326295394442361e-07]	[0.0, 0.0, 0.0, -2.1199069172849865e-07, -2.1199069172849865e-07, -2.1326295394442361e-07]	
1	0.833150	0.356251	True	15.31049745501337	15.310499025554611	0.2500000171930819	0.25000000000009864	1.4361066238157394	1.4361066706040995	[1.9999999620975133, -1.0968122611857367e-14, -0.0001252518396315307, -2.6239499679379506e-10, 9.599630135341255e-07, -2.6328314902141656e-10]	[2.500000000000011, -1.1010478526083021e-14, -0.00012533259939746447, -2.6239668757247294e-10, -2.623966876414701e-10, -2.6328484012408603e-10]	[3.000000000000011, -1.1010478526083024e-14, -0.00012533259939746447, -2.623966875724723e-10, -2.6239668764147076e-10, -2.6328847446048174e-10]	[-4.566855785686663e-06, 1.1071547848574586e-12, -0.012542354155829575, -2.5941077106889697e-08, 9.505432305613125e-05, -2.595926504673175e-08]	[-1.1010426529362434e-12, 1.102095483101604e-12, -0.012552106336076403, -2.594144072234229e-08, -2.5941440722338168e-08, -2.5959628745572362e-08]	[-1.1010426529362442e-12, 1.102095483101603e-12, -0.012552106336076403, -2.594144072234229e-08, -2.5941440722338168e-08, -2.596035614325359e-08]	[-0.003516842126713669, 5.806461272394729e-12, 0.007497387772790045, -2.0165198133700314e-07, 0.0007413266335795351, -2.0024230564235225e-07]	[0.0, 0.0, 0.0, -2.0165778779827555e-07, -2.0165778779827555e-07, -2.0024811210362465e-07]	[0.0, 0.0, 0.0, -2.0165778779827555e-07, -2.0165778779827555e-07, -2.0025972502616943e-07]	
2	1.184072	0.349733	True	15.310494283918954	15.310499025554611	0.2500000519067056	0.25000000000009864	1.4361065293243211	1.4361066706040995	[1.999999885568256, -5.700794388207821e-14, -0.00028217900610104574, -6.446402670283851e-10, 2.3970531713544256e-06, -6.554073394087633e-10]	[2.5000000000000586, -5.844442102246519e-14, -0.0002824228698662688, -6.446485753954788e-10, -6.446485758208538e-10, -6.554156563002907e-10]	[3.0000000000000586, -5.84444210224653e-14, -0.0002824228698662688, -6.446485753954714e-10, -6.446485758208614e-10, -6.554338492213441e-10]	[-1.0689428824152954e-05, 4.0716896881327885e-12, -0.01884781289676944, -5.051620476272873e-08, 0.00019239874636185598, -5.248478417902138e-08]	[-3.814546720250426e-12, 3.8199143027441185e-12, -0.01887069134486147, -5.051729669746113e-08, -5.0517296697426656e-08, -5.248587687021143e-08]	[-3.8145467202504455e-12, 3.819914302744099e-12, -0.01887069134486147, -5.051729669746113e-08, -5.0517296697426656e-08, -5.2488062252591544e-08]	[-0.007021699072564535, 2.829575799718177e-10, 0.015010720207584372, -3.9156562812665453e-07, 0.0015512848963538483, -4.216634413572333e-07]	[0.0, 0.0, 0.0, -3.915772410491993e-07, -3.915772410491993e-07, -4.216750542797781e-07]	[0.0, 0.0, 0.0, -3.915772410491993e-07, -3.915772410491993e-07, -4.2169828012486767e-07]	
3	1.542567	0.357225	True	15.31048790536087	15.310499025554611	0.250000121731086	0.25000000000009864	1.4361063392340496	1.4361066706040995	[1.9999997316319993, -1.9684596537807766e-13, -0.0005022695200531518, -1.2664444789878073e-09, 4.786581152655049e-06, -1.3047303183394751e-09]	[2.500000000000204, -2.037203064858509e-13, -0.0005028415098498977, -1.2664741535292907e-09, -1.2664741551953036e-09, -1.3047490950700004e-09]	[3.000000000000204, -2.0372030648585236e-13, -0.0005028415098498977, -1.2664741535292556e-09, -1.266474155195339e-09, -1.3047964358742772e-09]	[-1.9943528919737803e-05, 1.0444842685239463e-11, -0.025175040080426852, -7.384563447329457e-08, 0.00028551499752611505, -7.739752039705197e-08]	[-9.685778685978344e-12, 9.703438107086014e-12, -0.025217801654001913, -7.38492835253046e-08, -7.384928352512895e-08, -7.739897707711715e-08]	[-9.685778685978481e-12, 9.703438107085877e-12, -0.025217801654001913, -7.38492835253046e-08, -7.384928352512895e-08, -7.740262233589082e-08]	[-0.010605745318389906, 5.601086986712407e-10, 0.022695625264153918, -3.711649103383228e-07, 0.0014815674745317221, -3.940585346316468e-07]	[0.0, 0.0, 0.0, -3.712056992831798e-07, -3.712056992831798e-07, -3.940642692349441e-07]	[0.0, 0.0, 0.0, -3.712056992831798e-07, -3.712056992831798e-07, -3.9408742322205855e-07]	
4	1.894744	0.351017	True	15.31047667836057	15.310499025554611	0.25000024462664944	0.25000000000009864	1.4361060045718863	1.4361066706040995	[1.999999460686208, -5.296943454905034e-13, -0.0007857247236991201, -2.1759690524025105e-09, 8.37664228309759e-06, -2.276653844380654e-09]	[2.5000000000005445, -5.437837952280112e-13, -0.0007868744157569482, -2.1755917429157106e-09, -2.175591747928852e-09, -2.2768340105685053e-09]	[3.0000000000005445, -5.437837952280205e-13, -0.0007868744157569482, -2.1755917429156005e-09, -2.1755917479289623e-09, -2.2769251075129585e-09]	[-3.388005799458092e-05, 2.0767422941082295e-11, -0.031520764967996905, -1.0806020684841617e-07, 0.00043251464566234683, -1.1701483520597438e-07]	[-2.031172274623066e-11, 2.0357198929651572e-11, -0.031593566041184386, -1.0797638700306826e-07, -1.0797638700242928e-07, -1.1704691672487504e-07]	[-2.0311722746231223e-11, 2.0357198929651013e-11, -0.031593566041184386, -1.0797638700306827e-07, -1.0797638700242925e-07, -1.1705202376003124e-07]	[-0.015964971604901915, -3.851603874728495e-10, 0.03424617555442573, -5.451290051201096e-07, 0.0023423658475140757, -6.270736155786974e-07]	[0.0, 0.0, 0.0, -5.437320658414667e-07, -5.437320658414667e-07, -6.275624399446845e-07]	[0.0, 0.0, 0.0, -5.437320658414667e-07, -5.437320658414667e-07, -6.275855220738238e-07]	
5	2.313702	0.416609	True	15.31045860933903	15.310499025554611	0.2500004424144814	0.25000000000009864	1.4361054658721877	1.4361066706040995	[1.99999902461858, -1.213791392808778e-12, -0.0011327291423963914, -3.4181381569927138e-09, 1.3402234918250373e-05, -3.631856409519041e-09]	[2.500000000001231, -1.2295992188956647e-12, -0.0011348087746775408, -3.4165080013014537e-09, -3.4165080138876825e-09, -3.63248657211368e-09]	[3.000000000001231, -1.2295992188957038e-12, -0.0011348087746775408, -3.4165080013011816e-09, -3.416508013887955e-09, -3.632636052496777e-09]	[-5.258619157454008e-05, 3.7029803235750575e-11, -0.03788489750397382, -1.403631605012118e-07, 0.000572580359970059, -1.5404986961350512e-07]	[-3.771259418939606e-11, 3.7812457246936955e-11, -0.03799811386546339, -1.401993357328853e-07, -1.401993357309891e-07, -1.5411062230186896e-07]	[-3.771259418939776e-11, 3.781245724693527e-11, -0.03799811386546339, -1.4019933573288533e-07, -1.4019933573098906e-07, -1.5411719302172736e-07]	[-0.021415237670866866, -1.377377099325749e-09, 0.045995874550937205, -5.148005066300132e-07, 0.00223172683660873, -5.83074231030919e-07]	[0.0, 0.0, 0.0, -5.135268476826881e-07, -5.135268476826881e-07, -5.835297212767992e-07]	[0.0, 0.0, 0.0, -5.135268476826881e-07, -5.135268476826881e-07, -5.835527315479635e-07]	
6	3.069887	0.754232	True	15.310431332133286	15.310499025554611	0.25000074099037456	0.25000000000009864	1.436104652469373	1.4361066706040995	[1.9999983663244156, -2.4567179890621157e-12, -0.0015434492390323687, -5.032643275170622e-09, 2.0115912442947668e-05, -5.4357092295701474e-09]	[2.5000000000024647, -2.462253774461606e-12, -0.001546933070210111, -5.028626336204484e-09, -5.028555088431344e-09, -5.4371945304294586e-09]	[3.0000000000024647, -2.462253774461734e-12, -0.001546933070210111, -5.028626336203906e-09, -5.028555088431924e-09, -5.437417040674664e-09]	[-7.771004891392804e-05, 6.141091921656474e-11, -0.04426391297935494, -1.825221921367793e-07, 0.0007701313313717442, -2.0675344504963721e-07]	[-6.405092375163024e-11, 6.424699561024564e-11, -0.044431575069885876, -1.8221466246085137e-07, -1.8220039872312187e-07, -2.068694412715265e-07]	[-6.405092375163451e-11, 6.424699561024136e-11, -0.044431575069885876, -1.8221466246085142e-07, -1.8220039872312176e-07, -2.0687747759277392e-07]	[-0.028749135750844135, -2.369593811178648e-09, 0.0618852180688803, -6.732998079286384e-07, 0.003153646523842632, -8.306304360242309e-07]	[0.0, 0.0, 0.0, -6.710105402909863e-07, -6.707827624866574e-07, -8.315081477586619e-07]	[0.0, 0.0, 0.0, -6.710105402909863e-07, -6.707827624866574e-07, -8.315310861718511e-07]	
7	3.498037	0.426735	True	15.310392099025993	15.310499025554611	0.25000117042806347	0.25000000000009864	1.4361034823402024	1.4361066706040995	[1.9999974194895658, -4.535393905006012e-12, -0.0020180331778805395, -7.055834980516726e-09, 2.8755001069157138e-05, -7.748251985508456e-09]	[2.5000000000045186, -4.5137485867759845e-12, -0.002023537088314507, -7.048017574158557e-09, -7.047741997894205e-09, -7.75109958974889e-09]	[3.0000000000045186, -4.5137485867763375e-12, -0.002023537088314507, -7.048017574157451e-09, -7.047741997895314e-09, -7.75140979548853e-09]	[-0.00010935269173474081, 9.646616637991023e-11, -0.05065767943419774, -2.2208311390412167e-07, 0.0009576071064107096, -2.5578040577081043e-07]	[-1.0185801572069413e-10, 1.0221251314033962e-10, -0.050894080184127666, -2.2164185037150958e-07, -2.2161523892613694e-07, -2.5594735954938193e-07]	[-1.0185801572070359e-10, 1.0221251314033017e-10, -0.050894080184127666, -2.2164185037150977e-07, -2.2161523892613672e-07, -2.5595686339710903e-07]	[-0.036186573320337374, -3.3618105230315477e-09, 0.07800306706834098, -6.332398574458031e-07, 0.0029974089718942465, -7.682439379877059e-07]	[0.0, 0.0, 0.0, -6.311123960358829e-07, -6.309158717091981e-07, -7.690493569451031e-07]	[0.0, 0.0, 0.0, -6.311123960358829e-07, -6.309158717091981e-07, -7.690722235003173e-07]	
8	3.861760	0.362429	True	15.310337756777452	15.310499025554611	0.25000176523502526	0.25000000000009864	1.436101861229283	1.4361066706040995	[1.9999961080110906, -7.788433405396405e-12, -0.0025566092774647604, -9.519405687485999e-09, 3.957578061543752e-05, -1.0635003954598017e-08]	[2.500000000007726, -7.716402531692762e-12, -0.0025649119231915076, -9.506052596445785e-09, -9.505323379088211e-09, -1.0639799982452194e-08]	[3.000000000007726, -7.716402531693606e-12, -0.0025649119231915076, -9.506052596443836e-09, -9.505323379090165e-09, -1.0640212568611673e-08]	[-0.00014928570971037156, 1.4409730234687233e-10, -0.057062357620144534, -2.705850775922385e-07, 0.0012064597213746159, -3.2160003151250875e-07]	[-1.5376047060267717e-10, 1.5436137624927531e-10, -0.057385760327141815, -2.699389224017288e-07, -2.6987478003819155e-07, -3.218407710590401e-07]	[-1.537604706026961e-10, 1.5436137624925644e-10, -0.057385760327141815, -2.699389224017292e-07, -2.698747800381911e-07, -3.218517443667784e-07]	[-0.045645827099023734, -5.220384682322739e-09, 0.09860252466427225, -7.785804007147622e-07, 0.003987395677668448, -1.0329073763591362e-06]	[0.0, 0.0, 0.0, -7.753152093614166e-07, -7.747167597886566e-07, -1.0340736812632186e-06]	[0.0, 0.0, 0.0, -7.753152093614166e-07, -7.747167597886566e-07, -1.0340964759604579e-06]	
9	4.216462	0.353413	True	15.310264735825225	15.310499025554611	0.25000256447771363	0.25000000000009864	1.4360996824744023	1.4361066706040995	[1.9999943457353153, -1.2638857909542037e-11, -0.00315928575579854, -1.2451580735186495e-08, 5.281706678272633e-05, -1.4155473906395255e-08]	[2.500000000012503, -1.2486573733108217e-11, -0.0031713499831888896, -1.2430681125920515e-08, -1.242914454373723e-08, -1.4162882015613915e-08]	[3.000000000012503, -1.248657373311004e-11, -0.0031713499831888896, -1.2430681125917287e-08, -1.2429144543740457e-08, -1.4163411686496313e-08]	[-0.00019762505217061973, 2.0728367980205745e-10, -0.06347777051843335, -3.157770568257659e-07, 0.0014416379571977425, -3.825092641574724e-07]	[-2.2270193310695473e-10, 2.2366944341612834e-10, -0.06390674720981888, -3.1494649341035886e-07, -3.1484914332032616e-07, -3.8282010675268094e-07]	[-2.2270193310698967e-10, 2.2366944341609344e-10, -0.06390674720981888, -3.149464934103596e-07, -3.148491433203253e-07, -3.828325514624396e-07]	[-0.05522176110282828, -7.078958841613931e-09, 0.11946161703051728, -7.288223769173021e-07, 0.0037805638896423587, -9.49905451448646e-07]	[0.0, 0.0, 0.0, -7.258828128862118e-07, -7.253544887982415e-07, -9.510077966416353e-07]	[0.0, 0.0, 0.0, -7.258828128862118e-07, -7.253544887982415e-07, -9.510305194808995e-07]	
